des,num,arr_delay,airport,city,state,lat,long
TYS,7384,9.759615385,McGhee Tyson Airport,Knoxville,TN,35.81249,-83.99286
UST,146,1.931506849,Northeast Florida Regional AirportÂ (St. Augustine Airport),St. Augustine,FL,,
VEL,197,-13.76142132,Valdez Airport,Vernal,UT,40.4409,-109.50992
VLD,1009,6.690782953,Valdosta Regional Airport,Valdosta,GA,30.7825,-83.27672
VPS,4743,6.35905545,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,30.48325,-86.5254
WRG,713,5.50911641,Wrangell Airport,Wrangell,AK,56.48433,-132.36982
WYS,207,4.193236715,Westerly State Airport,West Yellowstone,MT,44.6884,-111.11764
XNA,9918,8.080963904,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,36.28187,-94.30681
YAK,713,0.3085554,Yakutat Airport,Yakutat,AK,59.50336,-139.66023
YUM,1856,3.259159483,Yuma International Airport,Yuma,AZ,32.65658,-114.60597
